"x0","y0","color","pen down?","x1","y1","color","pen down?"
"203","0.414794921875","55","true","203","0","5","true"
"204","0.414794921875","55","true","204","0","5","true"
"205","0.413330078125","55","true","205","0","5","true"
"206","0.39892578125","55","true","206","0","5","true"
"207","0.396240234375","55","true","207","0","5","true"
"208","0.393310546875","55","true","208","0","5","true"
"209","0.401123046875","55","true","209","0","5","true"
"210","0.40576171875","55","true","210","0","5","true"
"211","0.41162109375","55","true","211","0","5","true"
"212","0.411376953125","55","true","212","0","5","true"
"213","0.401611328125","55","true","213","0","5","true"
"214","0.396484375","55","true","214","0","5","true"
"215","0.391845703125","55","true","215","0","5","true"
"216","0.38818359375","55","true","216","0","5","true"
"217","0.4033203125","55","true","217","0","5","true"
"218","0.398681640625","55","true","218","0","5","true"
"219","0.39501953125","55","true","219","0","5","true"
"220","0.40673828125","55","true","220","0","5","true"
"221","0.411376953125","55","true","221","0","5","true"
"222","0.406005859375","55","true","222","0","5","true"
"223","0.397216796875","55","true","223","0","5","true"
"224","0.399169921875","55","true","224","0","5","true"
"225","0.39990234375","55","true","225","0","5","true"
"226","0.41357421875","55","true","226","0","5","true"
"227","0.416748046875","55","true","227","0","5","true"
"228","0.412353515625","55","true","228","0","5","true"
"229","0.4248046875","55","true","229","0","5","true"
"230","0.426513671875","55","true","230","0","5","true"
"231","0.42431640625","55","true","231","0","5","true"
"232","0.4208984375","55","true","232","0","5","true"
"233","0.420654296875","55","true","233","0","5","true"
"234","0.42041015625","55","true","234","0","5","true"
"235","0.423828125","55","true","235","0","5","true"
"236","0.4189453125","55","true","236","0","5","true"
"237","0.41455078125","55","true","237","0","5","true"
"238","0.406005859375","55","true","238","0","5","true"
"239","0.404541015625","55","true","239","0","5","true"
"240","0.41064453125","55","true","240","0","5","true"
"241","0.408447265625","55","true","241","0","5","true"
"242","0.40673828125","55","true","242","0","5","true"
"243","0.407958984375","55","true","243","0","5","true"
"244","0.40625","55","true","244","0","5","true"
"245","0.41357421875","55","true","245","0","5","true"
"246","0.4091796875","55","true","246","0","5","true"
"247","0.403076171875","55","true","247","0","5","true"
"248","0.39697265625","55","true","248","0","5","true"
"249","0.3935546875","55","true","249","0","5","true"
"250","0.40087890625","55","true","250","0","5","true"
"251","0.407958984375","55","true","251","0","5","true"
"252","0.40478515625","55","true","252","0","5","true"
"253","0.40283203125","55","true","253","0","5","true"
"254","0.391845703125","55","true","254","0","5","true"
"255","0.39111328125","55","true","255","0","5","true"
"256","0.396728515625","55","true","256","0","5","true"
"257","0.398681640625","55","true","257","0","5","true"
"258","0.40380859375","55","true","258","0","5","true"
"259","0.401123046875","55","true","259","0","5","true"
"260","0.3984375","55","true","260","0","5","true"
"261","0.40478515625","55","true","261","0","5","true"
"262","0.393798828125","55","true","262","0","5","true"
"263","0.388427734375","55","true","263","0","5","true"
"264","0.38818359375","55","true","264","0","5","true"
"265","0.382568359375","55","true","265","0","5","true"
"266","0.38671875","55","true","266","0","5","true"
"267","0.376708984375","55","true","267","0","5","true"
"268","0.371337890625","55","true","268","0","5","true"
"269","0.362548828125","55","true","269","0","5","true"
