"x0","y0","color","pen down?","x1","y1","color","pen down?"
"239","0.935791015625","55","true","239","0","5","true"
"240","0.934814453125","55","true","240","0","5","true"
"241","0.934814453125","55","true","241","0","5","true"
"242","0.935546875","55","true","242","0","5","true"
"243","0.93505859375","55","true","243","0","5","true"
"244","0.94091796875","55","true","244","0","5","true"
"245","0.945556640625","55","true","245","0","5","true"
"246","0.945556640625","55","true","246","0","5","true"
"247","0.95068359375","55","true","247","0","5","true"
"248","0.94873046875","55","true","248","0","5","true"
"249","0.947265625","55","true","249","0","5","true"
"250","0.946044921875","55","true","250","0","5","true"
"251","0.94140625","55","true","251","0","5","true"
"252","0.94140625","55","true","252","0","5","true"
"253","0.944091796875","55","true","253","0","5","true"
"254","0.9482421875","55","true","254","0","5","true"
"255","0.948974609375","55","true","255","0","5","true"
"256","0.946044921875","55","true","256","0","5","true"
"257","0.945556640625","55","true","257","0","5","true"
"258","0.9443359375","55","true","258","0","5","true"
"259","0.942626953125","55","true","259","0","5","true"
"260","0.94482421875","55","true","260","0","5","true"
"261","0.943359375","55","true","261","0","5","true"
"262","0.942138671875","55","true","262","0","5","true"
"263","0.941162109375","55","true","263","0","5","true"
"264","0.94482421875","55","true","264","0","5","true"
"265","0.94677734375","55","true","265","0","5","true"
"266","0.943115234375","55","true","266","0","5","true"
"267","0.94384765625","55","true","267","0","5","true"
"268","0.943115234375","55","true","268","0","5","true"
"269","0.947265625","55","true","269","0","5","true"
"270","0.945556640625","55","true","270","0","5","true"
"271","0.9501953125","55","true","271","0","5","true"
"272","0.951171875","55","true","272","0","5","true"
"273","0.9521484375","55","true","273","0","5","true"
"274","0.954833984375","55","true","274","0","5","true"
"275","0.95263671875","55","true","275","0","5","true"
"276","0.953369140625","55","true","276","0","5","true"
"277","0.9541015625","55","true","277","0","5","true"
"278","0.9501953125","55","true","278","0","5","true"
"279","0.94873046875","55","true","279","0","5","true"
"280","0.950927734375","55","true","280","0","5","true"
"281","0.948974609375","55","true","281","0","5","true"
"282","0.946044921875","55","true","282","0","5","true"
"283","0.9462890625","55","true","283","0","5","true"
"284","0.947265625","55","true","284","0","5","true"
"285","0.945556640625","55","true","285","0","5","true"
"286","0.939453125","55","true","286","0","5","true"
"287","0.941650390625","55","true","287","0","5","true"
"288","0.947021484375","55","true","288","0","5","true"
"289","0.948974609375","55","true","289","0","5","true"
"290","0.94580078125","55","true","290","0","5","true"
"291","0.94580078125","55","true","291","0","5","true"
"292","0.947509765625","55","true","292","0","5","true"
"293","0.947998046875","55","true","293","0","5","true"
"294","0.949951171875","55","true","294","0","5","true"
"295","0.949462890625","55","true","295","0","5","true"
"296","0.94775390625","55","true","296","0","5","true"
"297","0.94384765625","55","true","297","0","5","true"
"298","0.94287109375","55","true","298","0","5","true"
"299","0.945068359375","55","true","299","0","5","true"
"300","0.946533203125","55","true","300","0","5","true"
"301","0.949951171875","55","true","301","0","5","true"
"302","0.947509765625","55","true","302","0","5","true"
"303","0.945556640625","55","true","303","0","5","true"
"304","0.947998046875","55","true","304","0","5","true"
"305","0.947021484375","55","true","305","0","5","true"
"306","0.951171875","55","true","306","0","5","true"
"307","0.947265625","55","true","307","0","5","true"
"308","0.94873046875","55","true","308","0","5","true"
"309","0.94775390625","55","true","309","0","5","true"
"310","0.94775390625","55","true","310","0","5","true"
"311","0.948974609375","55","true","311","0","5","true"
"312","0.947021484375","55","true","312","0","5","true"
"313","0.94189453125","55","true","313","0","5","true"
"314","0.9404296875","55","true","314","0","5","true"
"315","0.94140625","55","true","315","0","5","true"
"316","0.94091796875","55","true","316","0","5","true"
"317","0.9443359375","55","true","317","0","5","true"
"318","0.949462890625","55","true","318","0","5","true"
